"","coral_id","genotype","treatment","wound","temp","wound_status","growthrate","weight"
"50",4,68,"2_A","2","A","wounded",0.00129829671006237,0.580341488206691
"51",27,70,"2_A","2","A","wounded",0.000779335240261998,0.623164131833924
"52",22,70,"1_A","1","A","wounded",0.0011366603954582,0.885486523417377
"53",44,69,"2_A","2","A","wounded",0.00128965768119449,0.537703530551063
"54",88,67,"1_A","1","A","wounded",0.00104011581438542,1.2213196380989
"55",65,65,"2_A","2","A","wounded",0.0019755215400216,0.585015197882718
"56",38,69,"1_A","1","A","wounded",0.00118337133458362,0.970025105758944
"57",13,68,"2_H","2","H","wounded",0.00231846742601491,0.771318249714177
"58",30,70,"1_H","1","H","wounded",0.00113388748401055,0.887835457091171
"59",48,69,"1_H","1","H","wounded",0.00165668568647034,0.881427044091488
"60",39,69,"2_H","2","H","wounded",0.00155821292338118,0.666170700292004
"61",80,67,"1_H","1","H","wounded",0.00184784316111761,1.09072716001159
"62",10,68,"1_H","1","H","wounded",0.0013466767136659,0.549849057565263
"63",79,67,"2_H","2","H","wounded",0.00177876224428783,0.575325463793747
"64",100,66,"1_H","1","H","wounded",0.00692726696851067,0.794695916978445
"65",93,66,"2_H","2","H","wounded",0.0010770993226137,0.525788494845437
"66",72,65,"1_H","1","H","wounded",0.0021447819160144,0.700265915502017
"67",31,70,"2_H","2","H","wounded",0.000779266454122974,0.815111968939847
"68",66,65,"2_H","2","H","wounded",0.00173833363718253,0.45651702981234
"69",15,68,"0_A","0","A","not wounded",0.00127818476963683,0.777275971201412
"70",103,66,"0_A","0","A","not wounded",0.00192022751662728,0.737589482311452
"71",41,69,"0_A","0","A","not wounded",0.00181920717811565,0.545457615701306
"72",57,65,"0_A","0","A","not wounded",0.0019632628496038,0.58237512658759
"73",90,67,"0_A","0","A","not wounded",0.00198545608298575,1.01814024007262
"74",19,70,"0_A","0","A","not wounded",0.00142759610176232,0.830681825235379
"75",81,67,"0_H","0","H","not wounded",0.00165217517984346,0.966733542912717
"76",32,70,"0_H","0","H","not wounded",0.000890771153744293,0.665086462342275
"77",51,69,"0_H","0","H","not wounded",0.0011088544534385,0.929282435509672
"78",97,66,"0_H","0","H","not wounded",0.00114305501947589,0.519548024714493
"79",18,68,"0_H","0","H","not wounded",0.00182590525950524,0.658191370880466
"80",58,65,"0_H","0","H","not wounded",0.00165628071477142,0.721250599843932
"81",68,65,"0_A","0","A","not wounded",0.00258732927456072,0.86124177103614
"82",77,67,"0_A","0","A","not wounded",0.00210978996964106,0.750566596624633
"83",34,70,"0_A","0","A","not wounded",0.00118371793958775,0.806811449687262
"84",108,66,"0_A","0","A","not wounded",0.00187225347919199,0.595651661024911
"85",47,69,"0_H","0","H","not wounded",0.00151815339909888,0.656315143355465
"86",99,66,"0_H","0","H","not wounded",0.000594192181727767,0.555303295093029
"87",60,65,"0_H","0","H","not wounded",0.00120184723529076,0.488242737867044
"88",28,70,"0_H","0","H","not wounded",0.00123092595034103,0.794405226618875
"89",89,67,"0_H","0","H","not wounded",0.00199896311229909,0.885787069040445
"90",1,68,"0_A","0","A","not wounded",0.00096426224084331,0.543936105883405
"91",107,66,"0_A","0","A","not wounded",0.00110768675585061,0.956713632290176
"92",64,65,"0_A","0","A","not wounded",0.00124846515199584,0.909614029673977
"93",83,67,"0_A","0","A","not wounded",0.00198800499441071,0.807431586749698
"94",53,69,"0_A","0","A","not wounded",0.00156686679547408,0.955269388837488
"95",21,70,"0_A","0","A","not wounded",0.00131382441920709,0.737751537205707
"96",36,70,"0_H","0","H","not wounded",0.00100517087331375,0.65244292560893
"97",40,69,"0_H","0","H","not wounded",0.00134711749157561,0.516392464057151
"98",61,65,"0_H","0","H","not wounded",0.00190899050180535,0.729246494490635
"99",95,66,"0_H","0","H","not wounded",0.00129481685922875,0.585409548561819
"100",8,68,"0_H","0","H","not wounded",0.0021023392992427,0.821402269901512
"101",86,67,"0_H","0","H","not wounded",0.00163511650928984,0.803015643916113
