"","coral_id","genotype","wound","temp","wound_status","growthrate","timepoint","weight"
"77",97,66,0,"H","not wounded",1.22536678218239,"day10",0.510083647166275
"78",18,68,0,"H","not wounded",2.69300706907369,"day10",0.650429241640604
"79",58,65,0,"H","not wounded",1.9679222546593,"day10",0.709460488809868
"80",68,65,0,"A","not wounded",1.06694014908779,"day10",0.822751916310364
"81",77,67,0,"A","not wounded",0.857136860744123,"day10",0.719051955808894
"82",34,70,0,"A","not wounded",-0.257307636409032,"day10",0.781747732471005
"83",108,66,0,"A","not wounded",0.442158136134196,"day10",0.564500426281605
"84",47,69,0,"H","not wounded",0.105326200474443,"day10",0.628523490777331
"85",99,66,0,"H","not wounded",-0.112159830413561,"day10",0.542892045336066
"86",60,65,0,"H","not wounded",-0.204095996085157,"day10",0.463366680435668
"87",28,70,0,"H","not wounded",-2.37495783471343,"day10",0.747268055215261
"88",89,67,0,"H","not wounded",-0.0234574562187229,"day10",0.847572195344575
"89",1,68,0,"A","not wounded",0.729789441772422,"day10",0.532913017725107
"90",107,66,0,"A","not wounded",-0.224399891883442,"day10",0.93342358501018
"91",64,65,0,"A","not wounded",2.34372164053119,"day10",0.909330408191368
"92",83,67,0,"A","not wounded",2.45563303561236,"day10",0.794215822212018
"93",53,69,0,"A","not wounded",0.414575400003181,"day10",0.929644673723512
"94",21,70,0,"A","not wounded",-2.17663448406173,"day10",0.691022528400155
"95",36,70,0,"H","not wounded",0.00743738314756826,"day10",0.633419052847445
"96",40,69,0,"H","not wounded",0.918618327541082,"day10",0.499983414992625
"97",61,65,0,"H","not wounded",0.40070634628746,"day10",0.696982738419208
"98",95,66,0,"H","not wounded",1.11968485231452,"day10",0.572004876759618
"99",8,68,0,"H","not wounded",0.398632333934112,"day10",0.785444146555242
"100",86,67,0,"H","not wounded",1.7387671390337,"day10",0.789336101629943
