"","coral_num","umol.cm2.hr","Rate","genotype","wound","temp","date","chamber_vol","SA","file.names.full","wound_status"
"117","5",0.102465177371862,"Net Photosythesis",68,"0","A",20230701,644.499626277741,54.2630210187899,"20230701_F_A_5_O2","no wound"
"118","52",0.222818046584922,"Net Photosythesis",69,"1","A",20230701,647.66525632951,10.5266981176888,"20230701_F_A_52_O2","wounded"
"119","57",0.220836683222612,"Net Photosythesis",65,"0","A",20230701,646.995945714005,26.9561878360973,"20230701_F_A_57_O2","no wound"
"120","59",0.09940535017901,"Net Photosythesis",65,"2","A",20230701,647.070720259331,25.48101905033,"20230701_F_A_59_O2","wounded"
"121","69",0.131331679966173,"Net Photosythesis",65,"1","A",20230701,647.472306628634,12.1585698147647,"20230701_F_A_69_O2","wounded"
"122","85",0.152277405327917,"Net Photosythesis",67,"1","A",20230701,646.500760438316,20.3449460434734,"20230701_F_A_85_O2","wounded"
"123","87",0.141169560262988,"Net Photosythesis",67,"2","A",20230701,647.526688116144,14.9305902803275,"20230701_F_A_87_O2","wounded"
"124","9",0.10560593811301,"Net Photosythesis",68,"2","A",20230701,646.805087608803,23.1358789293665,"20230701_F_A_9_O2","wounded"
"125","90",0.191913778734343,"Net Photosythesis",67,"0","A",20230701,647.014770075066,18.9589358106921,"20230701_F_A_90_O2","no wound"
"126","18",0.123990643775509,"Net Photosythesis",68,"0","H",20230701,646.686739555992,23.4952149156432,"20230701_F_H_18_O2","no wound"
"127","23",0.293863035416938,"Net Photosythesis",70,"1","H",20230701,647.410553107077,14.5145170330597,"20230701_F_H_23_O2","wounded"
"128","24",0.117439119811411,"Net Photosythesis",70,"2","H",20230701,647.237297087639,17.3189587906174,"20230701_F_H_24_O2","wounded"
"129","3",0.22393004488024,"Net Photosythesis",68,"1","H",20230701,646.445120468643,28.331390971547,"20230701_F_H_3_O2","wounded"
"130","32",0.244613768640816,"Net Photosythesis",70,"0","H",20230701,646.129919758582,25.8268461649421,"20230701_F_H_32_O2","no wound"
"131","43",0.233781688868746,"Net Photosythesis",69,"2","H",20230701,646.01511155293,33.5917455977173,"20230701_F_H_43_O2","wounded"
"132","46",0.232049658238342,"Net Photosythesis",69,"1","H",20230701,647.035339016788,15.7708420978616,"20230701_F_H_46_O2","wounded"
"133","51",0.285697264011393,"Net Photosythesis",69,"0","H",20230701,647.321837675437,15.9545627524993,"20230701_F_H_51_O2","no wound"
"134","56",0.29909633052297,"Net Photosythesis",65,"1","H",20230701,646.906440713171,21.0420038213635,"20230701_F_H_56_O2","wounded"
"135","58",0.302361533162871,"Net Photosythesis",65,"0","H",20230701,647.608336334086,11.4750209085392,"20230701_F_H_58_O2","no wound"
"136","63",0.136562008047741,"Net Photosythesis",65,"2","H",20230701,647.332796640522,19.0399890406792,"20230701_F_H_63_O2","wounded"
"137","7",0.213043600225885,"Net Photosythesis",68,"2","H",20230701,645.571534394731,42.9452883382418,"20230701_F_H_7_O2","wounded"
"138","74",0.201093486933959,"Net Photosythesis",67,"1","H",20230701,647.031164172947,17.9052438208582,"20230701_F_H_74_O2","wounded"
"139","76",0.147447560363169,"Net Photosythesis",67,"2","H",20230701,646.578715471583,20.882599135722,"20230701_F_H_76_O2","wounded"
"140","81",0.0480794782883144,"Net Photosythesis",67,"0","H",20230701,646.621507620963,19.6073616505898,"20230701_F_H_81_O2","no wound"
"141","92",0.266378749189977,"Net Photosythesis",66,"1","H",20230701,647.249821619165,11.3237215458964,"20230701_F_H_92_O2","wounded"
"142","97",0.102833034504581,"Net Photosythesis",66,"0","H",20230701,646.026070518015,30.9548138487998,"20230701_F_H_97_O2","no wound"
"143","98",0.304465277377316,"Net Photosythesis",66,"2","H",20230701,646.008327431687,26.7616600841279,"20230701_F_H_98_O2","wounded"
"144","101",0.193701564258049,"Net Photosythesis",66,"2","A",20230702,647.284470378168,13.5499835962119,"20230702_F_A_101_O2","wounded"
"145","108",0.175566530280184,"Net Photosythesis",66,"0","A",20230702,647.010031345855,21.9930283865468,"20230702_F_A_108_O2","no wound"
"146","11",0.211254414307315,"Net Photosythesis",68,"0","A",20230702,646.718800632789,23.8275331585908,"20230702_F_A_11_O2","no wound"
"147","12",0.172998430556343,"Net Photosythesis",68,"1","A",20230702,646.204555409717,34.6832624282118,"20230702_F_A_12_O2","wounded"
"148","16",0.121392468166831,"Net Photosythesis",68,"2","A",20230702,645.835663173167,40.2164962620056,"20230702_F_A_16_O2","wounded"
"149","20",0.100267936767088,"Net Photosythesis",70,"1","A",20230702,647.290242518427,13.4311055255641,"20230702_F_A_20_O2","wounded"
"150","29",0.175496086867476,"Net Photosythesis",70,"2","A",20230702,646.841589798298,17.0676937776571,"20230702_F_A_29_O2","wounded"
"151","34",0.1210788038051,"Net Photosythesis",70,"0","A",20230702,647.018427186232,18.0673502808327,"20230702_F_A_34_O2","no wound"
"152","37",0.251608497705274,"Net Photosythesis",69,"0","A",20230702,646.632743268928,23.2736694203448,"20230702_F_A_37_O2","no wound"
"153","42",0.124595904358893,"Net Photosythesis",69,"2","A",20230702,646.501033523019,23.8059189639275,"20230702_F_A_42_O2","wounded"
"154","54",0.233052070501446,"Net Photosythesis",69,"1","A",20230702,647.492792167514,11.7506018904958,"20230702_F_A_54_O2","wounded"
"155","62",0.110579236261284,"Net Photosythesis",65,"2","A",20230702,647.384170982641,15.1170127092981,"20230702_F_A_62_O2","wounded"
"156","67",0.135807619415333,"Net Photosythesis",65,"1","A",20230702,646.75605717446,15.0278541563122,"20230702_F_A_67_O2","wounded"
"157","68",0.266842328749049,"Net Photosythesis",65,"0","A",20230702,647.408833763747,17.621557515903,"20230702_F_A_68_O2","no wound"
"158","75",0.158097339289055,"Net Photosythesis",67,"1","A",20230702,646.4448863405,28.3692158122077,"20230702_F_A_75_O2","wounded"
"159","77",0.149531631367415,"Net Photosythesis",67,"0","A",20230702,647.308083679227,18.8670754833733,"20230702_F_A_77_O2","no wound"
"160","78",0.119623948672508,"Net Photosythesis",67,"2","A",20230702,646.769700415073,19.5452208409329,"20230702_F_A_78_O2","wounded"
"161","91",0.271716199222337,"Net Photosythesis",66,"1","A",20230702,646.480043922077,19.7289414955706,"20230702_F_A_91_O2","wounded"
"162","14",0.13356633156648,"Net Photosythesis",68,"2","H",20230702,646.518874683819,17.0595884546583,"20230702_F_H_14_O2","wounded"
"163","2",0.235288370099354,"Net Photosythesis",68,"1","H",20230702,645.352902351508,49.0972284942714,"20230702_F_H_2_O2","wounded"
"164","28",0.305424244287027,"Net Photosythesis",70,"0","H",20230702,646.925548202065,17.943068661519,"20230702_F_H_28_O2","no wound"
"165","33",0.109474471245985,"Net Photosythesis",70,"2","H",20230702,647.351112361158,17.478363476259,"20230702_F_H_33_O2","wounded"
"166","35",0.220396214457874,"Net Photosythesis",70,"1","H",20230702,647.49803956775,9.85665808312786,"20230702_F_H_35_O2","wounded"
"167","45",0.248873783631583,"Net Photosythesis",69,"2","H",20230702,646.169922568163,30.4225643052172,"20230702_F_H_45_O2","wounded"
"168","47",0.226365413545165,"Net Photosythesis",69,"0","H",20230702,647.035218866985,20.6016146050996,"20230702_F_H_47_O2","no wound"
"169","50",0.171168762246072,"Net Photosythesis",69,"1","H",20230702,646.454856400947,26.9832055794263,"20230702_F_H_50_O2","wounded"
"170","55",0.28612146945548,"Net Photosythesis",65,"2","H",20230702,646.834243437968,22.6225418061141,"20230702_F_H_55_O2","wounded"
"171","60",0.284196672167536,"Net Photosythesis",65,"0","H",20230702,646.86415361931,26.5428163631625,"20230702_F_H_60_O2","no wound"
"172","70",0.249996806591277,"Net Photosythesis",65,"1","H",20230702,647.134919471458,17.680996551227,"20230702_F_H_70_O2","wounded"
"173","73",0.245816078929152,"Net Photosythesis",67,"2","H",20230702,646.614377368104,25.305403718691,"20230702_F_H_73_O2","wounded"
"174","84",0.132517425642241,"Net Photosythesis",67,"1","H",20230702,646.698860511894,17.9025420465253,"20230702_F_H_84_O2","wounded"
"175","89",0.164796047366339,"Net Photosythesis",67,"0","H",20230702,646.947587283053,18.9778482310224,"20230702_F_H_89_O2","no wound"
"176","94",0.210336251397869,"Net Photosythesis",66,"2","H",20230702,646.117973305833,18.7752151560544,"20230702_F_H_94_O2","wounded"
"177","96",0.11789903518368,"Net Photosythesis",66,"1","H",20230702,646.368799037086,22.3442590498247,"20230702_F_H_96_O2","wounded"
"178","99",0.252062894864978,"Net Photosythesis",66,"0","H",20230702,646.861529919192,21.9200804795583,"20230702_F_H_99_O2","no wound"
"179","1",0.136369707928741,"Net Photosythesis",68,"0","A",20230703,645.828950446149,34.4536116099147,"20230703_F_A_1_O2","no wound"
"180","102",0.0891287186205924,"Net Photosythesis",66,"2","A",20230703,647.199752320613,17.6053468699056,"20230703_F_A_102_O2","wounded"
"181","105",0.118762583987724,"Net Photosythesis",66,"1","A",20230703,645.736795698286,35.9747105593413,"20230703_F_A_105_O2","wounded"
"182","107",0.200498502142728,"Net Photosythesis",66,"0","A",20230703,647.560517214236,10.6752957059987,"20230703_F_A_107_O2","no wound"
"183","21",0.194664756704814,"Net Photosythesis",70,"0","A",20230703,647.251065759764,15.9950893674929,"20230703_F_A_21_O2","no wound"
"184","22",0.108308500430614,"Net Photosythesis",70,"1","A",20230703,647.099743474921,16.0464230798181,"20230703_F_A_22_O2","wounded"
"185","27",0.158480260218247,"Net Photosythesis",70,"2","A",20230703,646.574042526883,21.8363254752382,"20230703_F_A_27_O2","wounded"
"186","38",0.193307719879182,"Net Photosythesis",69,"1","A",20230703,647.148438881462,16.3436182564379,"20230703_F_A_38_O2","wounded"
"187","4",0.198473472994242,"Net Photosythesis",68,"2","A",20230703,645.712186191754,37.2823693364684,"20230703_F_A_4_O2","wounded"
"188","44",0.13784058404185,"Net Photosythesis",69,"2","A",20230703,646.590274329064,32.5542642538809,"20230703_F_A_44_O2","wounded"
"189","53",0.253118183441345,"Net Photosythesis",69,"0","A",20230703,647.314945755442,14.506411710061,"20230703_F_A_53_O2","no wound"
"190","6",0.156562831444758,"Net Photosythesis",68,"1","A",20230703,646.461990731186,28.2395306442282,"20230703_F_A_6_O2","wounded"
"191","64",0.236586297492058,"Net Photosythesis",65,"0","A",20230703,647.541143772924,15.6276480582175,"20230703_F_A_64_O2","no wound"
"192","65",0.161325823191362,"Net Photosythesis",65,"2","A",20230703,646.81228349437,27.1750315570628,"20230703_F_A_65_O2","wounded"
"193","71",0.129648977469428,"Net Photosythesis",65,"1","A",20230703,646.510162531205,31.8031709893327,"20230703_F_A_71_O2","wounded"
"194","82",0.135462293115188,"Net Photosythesis",67,"2","A",20230703,647.282482151081,14.2983750864272,"20230703_F_A_82_O2","wounded"
"195","83",0.211461292180366,"Net Photosythesis",67,"0","A",20230703,646.902867422668,18.3348259397905,"20230703_F_A_83_O2","no wound"
"196","88",0.0885135560892517,"Net Photosythesis",67,"1","A",20230703,647.088224131438,13.2527884195921,"20230703_F_A_88_O2","wounded"
"197","10",0.190121439084997,"Net Photosythesis",68,"1","H",20230703,646.516969415991,25.1405954843837,"20230703_F_H_10_O2","wounded"
"198","100",0.214969866381126,"Net Photosythesis",66,"1","H",20230703,646.554145479049,18.6320211164103,"20230703_F_H_100_O2","wounded"
"199","13",0.251031284701463,"Net Photosythesis",68,"2","H",20230703,647.081417246652,19.0832174300058,"20230703_F_H_13_O2","wounded"
"200","30",0.179165842455331,"Net Photosythesis",70,"1","H",20230703,646.539484496435,22.4577335718069,"20230703_F_H_30_O2","wounded"
"201","31",0.249715875167604,"Net Photosythesis",70,"2","H",20230703,646.770918579136,18.0781573781643,"20230703_F_H_31_O2","wounded"
"202","36",0.135296844629624,"Net Photosythesis",70,"0","H",20230703,646.624832359512,22.4361193771436,"20230703_F_H_36_O2","no wound"
"203","39",0.327801233205276,"Net Photosythesis",69,"2","H",20230703,646.996069383575,23.0818434427083,"20230703_F_H_39_O2","wounded"
"204","40",0.128448795352769,"Net Photosythesis",69,"0","H",20230703,645.258742943746,44.4609837390027,"20230703_F_H_40_O2","no wound"
"205","48",0.370304348339964,"Net Photosythesis",69,"1","H",20230703,646.911768733541,17.7755586528787,"20230703_F_H_48_O2","wounded"
"206","61",0.191250133602734,"Net Photosythesis",65,"0","H",20230703,647.509727381607,15.2710138462738,"20230703_F_H_61_O2","no wound"
"207","66",0.147997565855857,"Net Photosythesis",65,"2","H",20230703,646.349938935489,36.9878759341815,"20230703_F_H_66_O2","wounded"
"208","72",0.233729553040911,"Net Photosythesis",65,"1","H",20230703,646.993974957487,20.9906701090382,"20230703_F_H_72_O2","wounded"
"209","79",0.311184970100377,"Net Photosythesis",67,"2","H",20230703,646.943185124858,22.3766803418196,"20230703_F_H_79_O2","wounded"
"210","8",0.14534022521762,"Net Photosythesis",68,"0","H",20230703,647.350550998935,17.3702925029426,"20230703_F_H_8_O2","no wound"
"211","80",0.267938527745988,"Net Photosythesis",67,"1","H",20230703,646.435286798566,20.0720668358498,"20230703_F_H_80_O2","wounded"
"212","86",0.248218315290588,"Net Photosythesis",67,"0","H",20230703,646.619596294293,20.3476478178063,"20230703_F_H_86_O2","no wound"
"213","93",0.278448595543105,"Net Photosythesis",66,"2","H",20230703,646.690806781278,21.1608818920114,"20230703_F_H_93_O2","wounded"
"214","95",0.283719914089479,"Net Photosythesis",66,"0","H",20230703,646.361458278972,27.5640870610014,"20230703_F_H_95_O2","no wound"
"215","103",0.500606910728596,"Gross Photosynthesis",66,"0","A",20230701,646.675408677049,19.7046255265744,"20230701_F_A_103_O2","no wound"
"216","104",0.467147135174353,"Gross Photosynthesis",66,"2","A",20230701,645.709091475914,34.5805950035612,"20230701_F_A_104_O2","wounded"
"217","106",0.439717962784335,"Gross Photosynthesis",66,"1","A",20230701,646.439581264867,21.0663197903596,"20230701_F_A_106_O2","wounded"
"218","15",0.416130032034435,"Gross Photosynthesis",68,"0","A",20230701,647.119349858739,16.6948489197158,"20230701_F_A_15_O2","no wound"
"219","19",0.435036456214538,"Gross Photosynthesis",70,"0","A",20230701,647.274127938574,13.5824048882068,"20230701_F_A_19_O2","no wound"
"220","25",0.323814651399415,"Gross Photosynthesis",70,"2","A",20230701,646.665996496518,18.0241218915062,"20230701_F_A_25_O2","wounded"
"221","26",0.352746721140728,"Gross Photosynthesis",70,"1","A",20230701,647.326417830411,12.5476253187034,"20230701_F_A_26_O2","wounded"
"222","41",0.393990081840479,"Gross Photosynthesis",69,"0","A",20230701,646.331864087684,29.2743102137316,"20230701_F_A_41_O2","no wound"
"223","49",0.357591801582111,"Gross Photosynthesis",69,"2","A",20230701,646.73554205266,24.4192217374974,"20230701_F_A_49_O2","wounded"
