"","coral_num","umol.cm2.hr","Rate","genotype","wound","temp","date","chamber_vol","SA","file.names.full","wound_status"
"94","31",0.176940428000471,"Respiration",70,"2","H",20230615,646.8295731,18.0781573781643,"20230615_24_H_31_O2","wounded"
"95","36",0.200386175746648,"Respiration",70,"0","H",20230615,646.7236299,22.4361193771436,"20230615_24_H_36_O2","no wound"
"96","39",0.220930683872455,"Respiration",69,"2","H",20230615,647.1295705,23.0818434427083,"20230615_24_H_39_O2","wounded"
"97","40",0.252113279708841,"Respiration",69,"0","H",20230615,645.4937456,44.4609837390027,"20230615_24_H_40_O2","no wound"
"98","48",0.264601544811106,"Respiration",69,"1","H",20230615,647.0220539,17.7755586528787,"20230615_24_H_48_O2","wounded"
"99","61",0.271402375930864,"Respiration",65,"0","H",20230615,647.633587,15.2710138462738,"20230615_24_H_61_O2","no wound"
"100","66",0.309285249001406,"Respiration",65,"2","H",20230615,646.6140155,36.9878759341815,"20230615_24_H_66_O2","wounded"
"101","72",0.308380774952239,"Respiration",65,"1","H",20230615,647.1689058,20.9906701090382,"20230615_24_H_72_O2","wounded"
"102","79",0.27424762605701,"Respiration",67,"2","H",20230615,647.1227523,22.3766803418196,"20230615_24_H_79_O2","wounded"
"103","8",0.254975630535978,"Respiration",68,"0","H",20230615,647.4793926,17.3702925029426,"20230615_24_H_8_O2","no wound"
"104","80",0.280099391321698,"Respiration",67,"1","H",20230615,646.5500301,20.0720668358498,"20230615_24_H_80_O2","wounded"
"105","86",0.269566968100912,"Respiration",67,"0","H",20230615,646.750378,20.3476478178063,"20230615_24_H_86_O2","no wound"
"106","93",0.258315043093725,"Respiration",66,"2","H",20230615,646.8196081,21.1608818920114,"20230615_24_H_93_O2","wounded"
"107","95",0.257198249658592,"Respiration",66,"0","H",20230615,646.514366,27.5640870610014,"20230615_24_H_95_O2","no wound"
"108","103",0.158193265635947,"Net Photosythesis",66,"0","A",20230613,646.8398571,19.7046255265744,"20230613_24_A_103_O2","no wound"
"109","104",0.0948966533050274,"Net Photosythesis",66,"2","A",20230613,645.9276618,34.5805950035612,"20230613_24_A_104_O2","wounded"
"110","106",0.121203384909209,"Net Photosythesis",66,"1","A",20230613,646.5784801,21.0663197903596,"20230613_24_A_106_O2","wounded"
"111","15",0.139961728098861,"Net Photosythesis",68,"0","A",20230613,647.209354,16.6948489197158,"20230613_24_A_15_O2","no wound"
"112","19",0.136138883572372,"Net Photosythesis",70,"0","A",20230613,647.3631361,13.5824048882068,"20230613_24_A_19_O2","no wound"
"113","25",0.127448453478847,"Net Photosythesis",70,"2","A",20230613,646.7768747,18.0241218915062,"20230613_24_A_25_O2","wounded"
"114","26",0.0508975276108,"Net Photosythesis",70,"1","A",20230613,647.3426668,12.5476253187034,"20230613_24_A_26_O2","wounded"
"115","41",0.231375968592357,"Net Photosythesis",69,"0","A",20230613,646.5643091,29.2743102137316,"20230613_24_A_41_O2","no wound"
"116","49",0.141144676529699,"Net Photosythesis",69,"2","A",20230613,646.8781715,24.4192217374974,"20230613_24_A_49_O2","wounded"
"117","5",0.179093746565059,"Net Photosythesis",68,"0","A",20230613,644.5373249,54.2630210187899,"20230613_24_A_5_O2","no wound"
