"","coral_id","genotype","treatment","wound","temp","wound_status","growthrate"
"68",15,68,"0_A","0","A","not wounded",1.27818476963683
"69",103,66,"0_A","0","A","not wounded",1.92022751662728
"70",41,69,"0_A","0","A","not wounded",1.81920717811565
"71",57,65,"0_A","0","A","not wounded",1.9632628496038
"72",90,67,"0_A","0","A","not wounded",1.98545608298575
"73",19,70,"0_A","0","A","not wounded",1.42759610176232
"74",81,67,"0_H","0","H","not wounded",1.65217517984346
"75",32,70,"0_H","0","H","not wounded",0.890771153744293
"76",51,69,"0_H","0","H","not wounded",1.1088544534385
"77",97,66,"0_H","0","H","not wounded",1.14305501947589
"78",18,68,"0_H","0","H","not wounded",1.82590525950523
"79",58,65,"0_H","0","H","not wounded",1.65628071477142
"80",68,65,"0_A","0","A","not wounded",2.58732927456072
"81",77,67,"0_A","0","A","not wounded",2.10978996964106
"82",34,70,"0_A","0","A","not wounded",1.18371793958776
"83",108,66,"0_A","0","A","not wounded",1.87225347919199
"84",47,69,"0_H","0","H","not wounded",1.51815339909888
"85",99,66,"0_H","0","H","not wounded",0.594192181727767
"86",60,65,"0_H","0","H","not wounded",1.20184723529076
"87",28,70,"0_H","0","H","not wounded",1.23092595034103
"88",89,67,"0_H","0","H","not wounded",1.99896311229909
"89",1,68,"0_A","0","A","not wounded",0.96426224084331
"90",107,66,"0_A","0","A","not wounded",1.10768675585061
"91",64,65,"0_A","0","A","not wounded",1.24846515199584
"92",83,67,"0_A","0","A","not wounded",1.98800499441071
"93",53,69,"0_A","0","A","not wounded",1.56686679547408
"94",21,70,"0_A","0","A","not wounded",1.31382441920709
"95",36,70,"0_H","0","H","not wounded",1.00517087331375
"96",40,69,"0_H","0","H","not wounded",1.34711749157561
"97",61,65,"0_H","0","H","not wounded",1.90899050180535
"98",95,66,"0_H","0","H","not wounded",1.29481685922875
"99",8,68,"0_H","0","H","not wounded",2.1023392992427
"100",86,67,"0_H","0","H","not wounded",1.63511650928984
