"","coral_num","genotype","wound","temp","wound_status","timepoint","R.hours","P.hours","PR_Ratio"
"87",63,65,2,"H","wounded",0,10.6707934971428,8.13652917983925,0.762504604931007
"88",67,65,1,"A","wounded",0,7.94345027736814,4.4778998023489,0.563722267527372
"89",68,65,0,"A","no wound",0,11.43586387389,8.62208338325587,0.753951208088576
"90",70,65,1,"H","wounded",0,9.73217400419674,7.61976948571769,0.782946285427271
"91",73,67,2,"H","wounded",0,11.8367096248556,9.11821269517829,0.770333393668052
"92",78,67,2,"A","wounded",0,10.8966080187591,9.87794472068454,0.906515560042093
"93",8,68,0,"H","no wound",0,9.80733526285609,5.98014562020199,0.609762535889944
"94",80,67,1,"H","wounded",0,12.693110716582,10.4009536401355,0.819417231313357
"95",84,67,1,"H","wounded",0,8.45369415049139,5.17375546300023,0.612011195448737
"96",86,67,0,"H","no wound",0,9.53104967503181,9.24159350434482,0.969630189689885
"97",9,68,2,"A","wounded",0,9.31156408753284,6.5379848842865,0.702136056072486
"98",90,67,0,"A","no wound",0,11.4468651890777,9.85906150084137,0.861289212198345
"99",92,66,1,"H","wounded",0,7.61505156861604,6.43859676409486,0.845509279363292
"100",94,66,2,"H","wounded",0,8.19095473334668,7.18549600994278,0.877247676719477
"101",97,66,0,"H","no wound",0,8.12939206680961,6.0403123164806,0.743021405148088
"102",99,66,0,"H","no wound",0,7.72176909380783,7.13479050621989,0.923983923831828
"103",103,66,0,"A","no wound",1,9.42146455090055,7.10223466864879,0.753835524220056
"104",106,66,1,"A","wounded",1,7.04293120679052,4.88355771715507,0.693398469155362
"105",15,68,0,"A","no wound",1,8.71474330066586,6.53493881697274,0.749871636089778
"106",19,70,0,"A","no wound",1,7.32797292745445,5.62018335011319,0.766949251280258
"107",25,70,2,"A","wounded",1,7.42342189403119,5.67508060393719,0.764483102934005
"108",26,70,1,"A","wounded",1,7.4604253277345,4.53921655761589,0.608439379554023
"109",41,69,0,"A","no wound",1,9.53845899232106,8.34321036332734,0.874691642543523
"110",49,69,2,"A","wounded",1,9.40358860272496,7.19751014581518,0.765400364678809
"111",52,69,1,"A","wounded",1,10.2230623327668,7.00545125977186,0.685259566237611
"112",57,65,0,"A","no wound",1,9.05739609445678,5.25997661120603,0.58073827801626
"113",59,65,2,"A","wounded",1,10.9188755972093,6.64717045341953,0.608777927199614
"114",69,65,1,"A","wounded",1,10.3506387452963,7.50695258985303,0.725264669609347
"115",85,67,1,"A","wounded",1,11.4633230724759,9.03586015576706,0.788240905245243
"116",87,67,2,"A","wounded",1,11.2343853851587,8.31898348471283,0.740492977542211
"117",9,68,2,"A","wounded",1,9.42599356100612,7.60115945246071,0.80640405738293
"118",90,67,0,"A","no wound",1,12.2537233911499,9.47732815803378,0.773424358907812
"119",18,68,0,"H","no wound",1,10.6784382223564,6.40624539473635,0.599923440239061
"120",23,70,1,"H","wounded",1,9.3338532047707,7.89567216757539,0.845917757045907
"121",24,70,2,"H","wounded",1,8.11833371257572,5.95955126419594,0.734085524836739
"122",3,68,1,"H","wounded",1,11.8557284337692,7.13904826041432,0.602160238427849
"123",32,70,0,"H","no wound",1,6.33283124745207,5.31200751635795,0.838804526568613
