"","coral_num","umol.cm2.hr","Rate","genotype","wound","temp","date","chamber_vol","SA","file.names.full","wound_status","timepoint"
"72",98,0.375281266674942,"Respiration",66,"2","H",20230606,646.1816961,20.599813,"20230606_g2_98_O2","wounded","0"
"73",101,0.33704579667043,"Respiration",66,"2","A",20230607,647.508909,10.4283325,"20230607_g3_101_O2","wounded","0"
"74",106,0.287931769211847,"Respiration",66,"1","A",20230607,646.5974319,19.363752,"20230607_g3_106_O2","wounded","0"
"75",107,0.357126969933279,"Respiration",66,"0","A",20230607,647.6725343,7.4710805,"20230607_g3_107_O2","no wound","0"
"76",108,0.339629501557355,"Respiration",66,"0","A",20230607,647.2823508,14.707603,"20230607_g3_108_O2","no wound","0"
"77",12,0.315280053424801,"Respiration",68,"1","A",20230607,646.4065356,27.4179305,"20230607_g3_12_O2","wounded","0"
"78",15,0.313267987332376,"Respiration",68,"0","A",20230607,647.2582265,10.8588265,"20230607_g3_15_O2","no wound","0"
"79",20,0.408645013688457,"Respiration",70,"1","A",20230607,647.355248,9.007718,"20230607_g3_20_O2","wounded","0"
"80",24,0.342073879048709,"Respiration",70,"2","H",20230607,647.3688834,9.7893425,"20230607_g3_24_O2","wounded","0"
"81",29,0.378265287130843,"Respiration",70,"2","A",20230607,646.9325492,12.2542425,"20230607_g3_29_O2","wounded","0"
"82",31,0.395556077941245,"Respiration",70,"2","H",20230607,646.2906343,12.000295,"20230607_g3_31_O2","wounded","0"
"83",34,0.400101690799497,"Respiration",70,"0","A",20230607,647.1606807,10.827819,"20230607_g3_34_O2","no wound","0"
"84",36,0.33877659580396,"Respiration",70,"0","H",20230607,646.8135012,15.157251,"20230607_g3_36_O2","no wound","0"
"85",39,0.358959614747176,"Respiration",69,"2","H",20230607,647.206307,13.605149,"20230607_g3_39_O2","wounded","0"
"86",44,0.40031606862743,"Respiration",69,"2","A",20230607,646.8853495,18.972979,"20230607_g3_44_O2","wounded","0"
"87",46,0.39707267714363,"Respiration",69,"1","H",20230607,647.126592,10.527164,"20230607_g3_46_O2","wounded","0"
"88",49,0.40367621272011,"Respiration",69,"2","A",20230607,646.9477579,14.4341875,"20230607_g3_49_O2","wounded","0"
