"","coral_num","temp","wound","genotype","timepoint","umol.sec.corr","drymass","SA"
"72","98","H","2",66,"day0",-0.00214742330997415,11.1876304675134,20.599813
"73","101","A","2",66,"day0",-0.00097634045427962,7.29889675420002,10.4283325
"74","106","A","1",66,"day0",-0.00154873315887207,9.96952466131573,19.363752
"75","107","A","0",66,"day0",-0.000741145650303502,6.8194744831873,7.4710805
"76","108","A","0",66,"day0",-0.00138753774333152,7.96271220637147,14.707603
"77","12","A","1",68,"day0",-0.00240120183134375,10.5288506441639,27.4179305
"78","15","A","0",68,"day0",-0.000944922978457354,8.03339625914898,10.8588265
"79","20","A","1",70,"day0",-0.00102248862372549,7.74912343819593,9.007718
"80","24","H","2",70,"day0",-0.000930188433975385,7.70917158227821,9.7893425
"81","29","A","2",70,"day0",-0.00128759848828708,8.98763097164545,12.2542425
"82","31","H","2",70,"day0",-0.0013185526734272,10.8684414194646,12.000295
"83","34","A","0",70,"day0",-0.00120339685821415,8.31920568994503,10.827819
"84","36","H","0",70,"day0",-0.00142636719320171,9.33644140600406,15.157251
"85","39","H","2",69,"day0",-0.00135658306767165,8.18552063360494,13.605149
"86","44","A","2",69,"day0",-0.00210977454539744,9.1259258575145,18.972979
"87","46","H","1",69,"day0",-0.0011611247756139,8.41908532973934,10.527164
"88","49","A","2",69,"day0",-0.00161853837324776,8.94306928619876,14.4341875
"89","50","H","1",69,"day0",-0.00201978962962077,10.0463551534652,18.6742865
"90","54","A","1",69,"day0",-0.000682323116882845,7.22513948173652,9.472281
"91","57","A","0",65,"day0",-0.00184253686038061,8.01956677056208,15.113762
"92","61","H","0",65,"day0",-0.00107250047946836,6.70576535480608,10.0055315
"93","63","H","2",65,"day0",-0.00141490230502146,7.37880046603547,10.9789315
"94","67","A","1",65,"day0",-0.00106119060965805,9.43017460642642,11.0615135
"95","68","A","0",65,"day0",-0.00121752097376242,6.96084258874233,8.8153145
"96","70","H","1",65,"day0",-0.00138705870612313,7.84439324846128,11.800905
"97","73","H","2",67,"day0",-0.00186744201013362,9.26268413354057,13.0631065
"98","78","A","2",67,"day0",-0.00140966825388228,9.01528994881926,10.711639
"99","8","H","0",68,"day0",-0.00111940687798083,6.71344840402102,9.450772
"100","80","H","1",67,"day0",-0.00166098283360524,10.0955266684409,10.8349625
"101","84","H","1",67,"day0",-0.0013186462659851,9.36563699302086,12.9155265
"102","86","H","0",67,"day0",-0.00141978498740902,9.32414852726014,12.334234
"103","9","A","2",68,"day0",-0.00172995107071386,8.65418663571673,15.383017
"104","90","A","0",67,"day0",-0.00118766521203067,8.26235112575442,8.590883
"105","92","H","1",66,"day0",-0.000998641725415625,7.79983156301458,10.858434
"106","94","H","2",66,"day0",-0.00130711003377083,10.9760041084738,13.2131985
"107","97","H","0",66,"day0",-0.00220034008741335,10.8392458324478,22.4110435
"108","99","H","0",66,"day0",-0.00154433614635525,8.72794390818023,16.5598105
"109","103","A","0",66,"day1",-0.00150272410790476,9.25921855436694,13.2066045
"111","106","A","1",66,"day1",-0.0015767013920322,10.0250532728646,18.5364405
"112","15","A","0",68,"day1",-0.00114289716780154,8.17659276757499,10.8588265
"113","19","A","0",70,"day1",-0.000850926207633001,7.72601129665163,9.6147585
"114","25","A","2",70,"day1",-0.0010662220699517,9.44375704075193,11.8925191983208
"115","26","A","1",70,"day1",-0.000651750361219021,7.78598630472676,7.2334924
"116","41","A","0",69,"day1",-0.00226986437923131,10.0665744323013,19.7038925
"117","49","A","2",69,"day1",-0.00159465132182565,9.14695764181607,14.0411426983208
"119","52","A","1",69,"day1",-0.000775352976195525,6.55572972882681,6.279843
"120","57","A","0",65,"day1",-0.00165327691921919,8.23810559636999,15.113762
"121","59","A","2",65,"day1",-0.00209185753209107,7.99051646047012,15.8629706983208
"122","69","A","1",65,"day1",-0.000980211489549847,7.24159776989103,7.841208
"123","85","A","1",67,"day1",-0.00141003677865253,9.85435517295853,10.184747
"124","87","A","2",67,"day1",-0.00105134596764445,7.08474005646379,7.74866119832077
"125","9","A","2",68,"day1",-0.00170646595919121,8.8747633743982,14.9899721983208
"126","90","A","0",67,"day1",-0.00127138048270208,8.42264408275498,8.590883
"127","18","H","0",68,"day1",-0.00190216599896239,9.19616790485206,14.7492865
"128","23","H","1",70,"day1",-0.00099707151980726,7.53378370666727,8.8449561
"129","24","H","2",70,"day1",-0.000921283579440522,7.83365874704288,9.39629769832077
"130","3","H","1",68,"day1",-0.00250481873847434,9.95277569903053,17.493568
"131","32","H","0",70,"day1",-0.00130399840655529,11.0507796930212,17.049415
"132","43","H","2",69,"day1",-0.00255339105257255,11.0154098164641,21.3323796983208
"133","46","H","1",69,"day1",-0.00115947463047512,8.43802228995373,9.00552
"134","51","H","0",69,"day1",-0.00123825073291632,7.66911193001626,8.4441665
"135","56","H","1",65,"day1",-0.00193364553907634,8.53029153314622,13.8080715
"136","58","H","0",65,"day1",-0.00101961565617135,6.70182269721493,9.7158665
"137","63","H","2",65,"day1",-0.00130517761592223,7.53070806522752,10.5858866983208
"138","7","H","2",68,"day1",-0.00314955133796704,12.4594234724267,24.3083931983208
"139","74","H","1",67,"day1",-0.00146525159355012,8.32729919812273,11.8347385
"140","76","H","2",67,"day1",-0.00182131436695263,9.73286733608841,13.5619001983208
"141","81","H","0",67,"day1",-0.00156123008985146,9.57754744338104,10.2396185
"142","92","H","1",66,"day1",-0.000902277364840699,7.807515794805,9.7731715
"143","97","H","0",66,"day1",-0.00228075493182083,11.1568893226926,22.4110435
"144","98","H","2",66,"day1",-0.00212925254270528,11.4552265423483,20.2067681983208
"145","108","A","0",66,"day1",-0.00142453638990235,8.23741729978579,14.707603
"146","12","A","1",68,"day1",-0.0022106863032934,10.6190619210632,26.256994
"147","16","A","2",68,"day1",-0.00265064858157082,11.2859224150208,24.9628476983208
"148","20","A","1",70,"day1",-0.000819482457556457,7.74418638144383,8.018932
"149","34","A","0",70,"day1",-0.00108371400225305,8.49248375600001,10.827819
"151","42","A","2",69,"day1",-0.00160864783775294,9.6833060666387,14.1449981983208
"152","54","A","1",69,"day1",-0.000678626627336175,7.24173619360016,8.6715025
"153","75","A","1",67,"day1",-0.00179542626362363,10.0044439542819,18.960105
"154","101","A","2",66,"day1",-0.00107596754576963,7.51216809898391,10.0352876983208
"156","29","A","2",70,"day1",-0.00094260247742883,8.99954357859455,11.8611976983208
"157","62","A","2",65,"day1",-0.00105158644652466,7.34775779286992,8.04806019832077
"158","67","A","1",65,"day1",-0.000888204944233145,9.24846385514096,9.7483655
"159","68","A","0",65,"day1",-0.00126243124433604,7.15876276808469,8.8153145
"160","77","A","0",67,"day1",-0.00126483856878121,7.46607175147531,10.508481
"161","78","A","2",67,"day1",-0.00134417822423637,9.18853860337979,10.3185941983208
"162","91","A","1",66,"day1",-0.00142902586141706,9.89688581009518,13.2105295
"163","14","H","2",68,"day1",-0.0013681447601043,9.88305690584261,11.7176211983208
"165","2","H","1",68,"day1",-0.00378652312879222,12.6964706487838,27.4640885
"166","28","H","0",70,"day1",-0.00100868593659403,8.74294057746338,11.339482
"167","33","H","2",70,"day1",-0.000919174728069897,7.81333090270672,9.64938169832077
"168","35","H","1",70,"day1",-0.000601223957073941,7.18181094183898,7.299244
"169","45","H","2",69,"day1",-0.00215826209641902,10.7051084364125,16.5944336983208
"170","47","H","0",69,"day1",-0.00160376831670191,8.30502527613173,13.235728
"171","50","H","1",69,"day1",-0.00188078062612855,10.1796100748146,17.7701235
"172","55","H","2",65,"day1",-0.00195489481693366,8.74601366729728,13.9037676983208
"173","60","H","0",65,"day1",-0.0022732521940857,8.75830602663291,18.8185695
"174","70","H","1",65,"day1",-0.00141795125126097,7.98388738848852,10.904435
"175","73","H","2",67,"day1",-0.00187280581510796,9.50813994610604,12.6700616983208
"176","84","H","1",67,"day1",-0.00142610846619083,9.40672798158713,11.5956275
"177","89","H","0",67,"day1",-0.00140723123114673,8.56009173234595,10.0967485
"178","94","H","2",66,"day1",-0.00146644240620784,11.1122928394051,12.8201536983208
"179","96","H","1",66,"day1",-0.00162347425832335,10.1688542603959,15.2297065
"180","99","H","0",66,"day1",-0.00160954990732426,9.00876284809627,16.5598105
"181","1","A","0",68,"day1",-0.00224296938274024,11.809538724192,22.4680345
"182","102","A","2",66,"day1",-0.000984893615341161,7.73421059191392,9.88488169832077
"183","105","A","1",66,"day1",-0.00210716070720227,11.6804559326719,24.099971
"184","107","A","0",66,"day1",-0.000649240673069844,6.99044784077417,7.4710805
"185","21","A","0",70,"day1",-0.000665669963705024,7.78184828878444,10.917466
"186","22","A","1",70,"day1",-0.000712124316945506,8.29049595536968,9.5967035
"187","27","A","2",70,"day1",-0.00104901146553225,9.79953525623586,16.1082046983208
"188","38","A","1",69,"day1",-0.000877639905522575,8.16141316384956,8.6132555
"189","4","A","2",68,"day1",-0.00262110025375066,12.029286809756,21.6481066983208
"190","44","A","2",69,"day1",-0.00160064188732356,9.53522287359942,18.5799341983208
"191","53","A","0",69,"day1",-0.000846204872900594,7.62203149928334,8.235592
"192","6","A","1",68,"day1",-0.00166332349835283,9.84409955330828,16.8488475
"193","64","A","0",65,"day1",-0.00108334379146246,7.01657173905801,7.920336
"194","65","A","2",65,"day1",-0.00163271476217384,8.74074902579105,15.9654131983208
"196","82","A","2",67,"day1",-0.000882549108149171,7.70962339352914,9.54795969832077
"197","83","A","0",67,"day1",-0.0011125283714796,8.65008373174716,11.238845
"198","88","A","1",67,"day1",-0.000806532654118325,8.39345484860597,6.9854795
"199","10","H","1",68,"day1",-0.00182543085439646,9.73038376077865,18.5601475
"200","100","H","1",66,"day1",-0.00139721295459376,8.42418884658695,12.7046755
"201","13","H","2",68,"day1",-0.00145031337146116,8.06306437031042,11.0867951983208
"202","30","H","1",70,"day1",-0.00123012291644159,9.89327395007785,11.4202585
"203","31","H","2",70,"day1",-0.000888543584431182,9.28935088975157,11.6072501983208
"204","36","H","0",70,"day1",-0.00124885782238363,9.59976426935948,15.157251
"205","39","H","2",69,"day1",-0.00141652429356514,8.41035854749551,13.2121041983208
"206","40","H","0",69,"day1",-0.00311366789708928,13.2033255326295,26.901793
"207","48","H","1",69,"day1",-0.00130651118873115,8.72538202680056,10.265759
"208","61","H","0",65,"day1",-0.00115127484465329,6.93358994450936,10.0055315
"209","66","H","2",65,"day1",-0.0031777234495379,9.92093454826073,23.4266811983208
"210","72","H","1",65,"day1",-0.00179808864305334,8.29510605506682,12.577584
"211","79","H","2",67,"day1",-0.00170465318410572,8.43033564618314,15.5676536983208
"212","8","H","0",68,"day1",-0.00123027813431449,7.38537971482978,9.450772
"213","80","H","1",67,"day1",-0.00156171491758055,10.1084119359447,9.5758225
"214","86","H","0",67,"day1",-0.00152362603617533,9.52139257450798,12.334234
"215","93","H","2",66,"day1",-0.00151838169939893,9.3185481878335,18.4407536983208
"216","95","H","0",66,"day1",-0.0019692874848685,10.2129075290801,18.211058
"217","103","A","0",66,"day10",-0.001248362619725,9.51037430909993,13.2066045
"219","106","A","1",66,"day10",-0.00119674437007882,10.271142777588,18.5364405
"220","15","A","0",68,"day10",-0.000922864960199017,8.38535911933569,10.8588265
"221","19","A","0",70,"day10",-0.000666623383327642,7.85973726838026,9.6147585
"222","25","A","2",70,"day10",-0.000816868032923697,9.60412557491362,11.8925191983208
"223","26","A","1",70,"day10",-0.000586245140577147,7.91199207227641,7.2334924
"224","41","A","0",69,"day10",-0.00203151791053107,10.4325179072673,19.7038925
"225","49","A","2",69,"day10",-0.00129858443683205,9.43045519725875,14.0411426983208
"227","52","A","1",69,"day10",-0.000637190707842544,6.70091014668321,6.279843
"228","57","A","0",65,"day10",-0.00152587265512401,8.57900927495084,15.113762
"229","59","A","2",65,"day10",-0.00182580640313491,8.31005072548535,15.8629706983208
"230","69","A","1",65,"day10",-0.00102839196152242,7.44323574320798,7.841208
"231","85","A","1",67,"day10",-0.00113477649134612,10.0882509639515,10.184747
"232","87","A","2",67,"day10",-0.000883294830861682,7.26341774156533,7.74866119832077
"233","9","A","2",68,"day10",-0.00126633580982391,9.13383233984823,14.9899721983208
"234","90","A","0",67,"day10",-0.00106528833828093,8.65124385680729,8.590883
"235","18","H","0",68,"day10",-0.00214294259910993,9.593367232935,14.7492865
"236","23","H","1",70,"day10",-0.00149511572261248,7.73371097663071,8.8449561
"237","24","H","2",70,"day10",-0.00146624862881982,8.00420643209315,9.39629769832077
"238","3","H","1",68,"day10",-0.00175874824758449,10.2542368116216,17.493568
"239","32","H","0",70,"day10",-0.00179875467975977,11.234782837673,17.049415
"240","43","H","2",69,"day10",-0.00307602430842375,11.4391913352668,21.3323796983208
"241","46","H","1",69,"day10",-0.00171854096969797,8.62972717285005,9.00552
"242","51","H","0",69,"day10",-0.00103227244928197,7.91967660226114,8.4441665
"243","56","H","1",65,"day10",-0.00137414692693814,8.82030351647131,13.8080715
"244","58","H","0",65,"day10",-0.000764953507317087,6.89302339630142,9.7158665
"245","63","H","2",65,"day10",-0.00166870231293127,7.7029728566918,10.5858866983208
"246","7","H","2",68,"day10",-0.00289048659439195,12.7962793305698,24.3083931983208
"247","74","H","1",67,"day10",-0.00119941964511583,8.58976761692946,11.8347385
"248","76","H","2",67,"day10",-0.00124231967463085,9.92533892827527,13.5619001983208
"249","81","H","0",67,"day10",-0.00209409130637482,9.82236622647991,10.2396185
"250","92","H","1",66,"day10",-0.000726044573169342,7.97961593614202,9.7731715
"251","97","H","0",66,"day10",-0.0019288605611176,11.431506805282,22.4110435
"252","98","H","2",66,"day10",-0.00184531295359552,11.7481094406529,20.2067681983208
"253","101","A","2",66,"day10",-0.00087646302259215,7.58917942054791,10.0352876983208
"254","108","A","0",66,"day10",-0.0011901806973057,8.30244816308061,14.707603
"256","12","A","1",68,"day10",-0.0018166857088462,10.6750052435052,26.256994
"257","16","A","2",68,"day10",-0.00228944711379841,11.4768694719525,24.9628476983208
"258","20","A","1",70,"day10",-0.000625268222435019,7.70630565616381,8.018932
"259","29","A","2",70,"day10",-0.000788231589959278,8.97367159026401,11.8611976983208
"260","34","A","0",70,"day10",-0.000900328454985302,8.46462295085646,10.827819
"262","42","A","2",69,"day10",-0.00124250719779107,9.75901801625265,14.1449981983208
"263","54","A","1",69,"day10",-0.000553332954618831,7.1852440695136,8.6715025
"264","62","A","2",65,"day10",-0.000814061935082712,7.32189134439882,8.04806019832077
"265","67","A","1",65,"day10",-0.000708362123903149,9.15236418049852,9.7483655
"266","68","A","0",65,"day10",-0.00109448849267089,7.25281689775354,8.8153145
"267","75","A","1",67,"day10",-0.00147174709056075,10.059341697319,18.960105
"268","77","A","0",67,"day10",-0.00115196807142514,7.55614381563061,10.508481
"269","78","A","2",67,"day10",-0.00138235543855343,9.1793933117945,10.3185941983208
"270","91","A","1",66,"day10",-0.00129888866842093,9.91218309359651,13.2105295
"271","14","H","2",68,"day10",-0.000976713387188263,9.75751639784731,11.7176211983208
"273","2","H","1",68,"day10",-0.00238529264580692,12.8583584048579,27.4640885
"274","28","H","0",70,"day10",-0.000827063951581099,8.47363266128846,11.339482
"275","33","H","2",70,"day10",-0.000583794669059967,7.69729594573182,9.64938169832077
