"","coral_num","umol.cm2.hr","Rate.ln","Temp.C","temp","wound","timepoint"
"72",98,0.375281266674942,-0.743848509825129,29.6681,"H",2,"day0"
"73",101,0.33704579667043,-0.827717291504624,28.5873606557377,"A",2,"day0"
"74",106,0.287931769211847,-0.946925807369521,28.5348333333333,"A",1,"day0"
"75",107,0.357126969933279,-0.782794093124493,28.4799166666667,"A",0,"day0"
"76",108,0.339629501557355,-0.821822948701363,28.2906333333333,"A",0,"day0"
"77",12,0.315280053424801,-0.878802158815509,28.4708166666667,"A",1,"day0"
"78",15,0.313267987332376,-0.883659016713127,28.5035901639344,"A",0,"day0"
"79",20,0.408645013688457,-0.676004924821085,28.2304666666667,"A",1,"day0"
"80",24,0.342073879048709,-0.816278263702945,28.2989833333333,"H",2,"day0"
"81",29,0.378265287130843,-0.737589706445312,28.5077704918033,"A",2,"day0"
"82",31,0.395556077941245,-0.702074757163277,28.4211333333333,"H",2,"day0"
"83",34,0.400101690799497,-0.692943819640184,28.3195333333333,"A",0,"day0"
"84",36,0.33877659580396,-0.823764888822209,28.2749166666667,"H",0,"day0"
"85",39,0.358959614747176,-0.778793058092796,28.271,"H",2,"day0"
"86",44,0.40031606862743,-0.69251524301968,28.3711166666667,"A",2,"day0"
"87",46,0.39707267714363,-0.699019031898993,28.5696557377049,"H",1,"day0"
"88",49,0.40367621272011,-0.685821652439756,28.4810666666667,"A",2,"day0"
"89",50,0.389371913440161,-0.714632519403503,28.3088333333333,"H",1,"day0"
"90",54,0.259321194206363,-1.023538599109,28.2773166666667,"A",1,"day0"
"91",57,0.438880319629897,-0.618261774230977,28.3501666666667,"A",0,"day0"
"92",61,0.385886719369791,-0.721779769967286,28.4207,"H",0,"day0"
"93",63,0.463947543354036,-0.572794040047137,28.5821967213115,"H",2,"day0"
"94",67,0.345367403363832,-0.808855711920477,28.3548833333333,"A",1,"day0"
"95",68,0.497211472777826,-0.515484002554164,28.1843666666667,"A",0,"day0"
"96",70,0.423138000182467,-0.647909987041268,28.3567,"H",1,"day0"
"97",73,0.514639548906764,-0.486719282337572,28.3710333333333,"H",2,"day0"
"98",78,0.473765566033003,-0.555534387634657,28.4059508196721,"A",2,"day0"
"99",8,0.426405880993743,-0.641682726932862,28.42525,"H",0,"day0"
"100",80,0.551874378981827,-0.427903405892057,28.3954,"H",1,"day0"
"101",84,0.367551919586582,-0.760244878480659,28.2987333333333,"H",1,"day0"
"102",86,0.414393464131818,-0.664766811948509,28.37275,"H",0,"day0"
"103",9,0.404850612501428,-0.683492710298062,28.5593606557377,"A",2,"day0"
"104",90,0.497689790829464,-0.514683404058282,28.5015737704918,"A",0,"day0"
"105",92,0.33108919863548,-0.841440252900211,28.4662166666667,"H",1,"day0"
"106",94,0.356128466667247,-0.784980783997356,28.3550666666667,"H",2,"day0"
"107",97,0.353451828991722,-0.790866235594165,28.5344262295082,"H",0,"day0"
"108",99,0.335729091035123,-0.830734579588407,28.3948833333333,"H",0,"day0"
"109",103,0.409628893517415,-0.674072477906409,29.6162058823529,"A",0,"day1"
"111",106,0.30621440029524,-0.900874179220412,29.6290294117647,"A",1,"day1"
"112",15,0.378901882637646,-0.736259540470605,29.4828059701493,"A",0,"day1"
"113",19,0.318607518584976,-0.870821507867861,29.5549117647059,"A",0,"day1"
"114",25,0.32275747365353,-0.860956612699678,29.4876268656716,"A",2,"day1"
"115",26,0.324366318597152,-0.85715823779235,29.6118656716418,"A",1,"day1"
"116",41,0.414715608361785,-0.664140747619472,29.4345294117647,"A",0,"day1"
"117",49,0.408851678379346,-0.675598702972224,29.5067164179104,"A",2,"day1"
"119",52,0.444480970989862,-0.607922284896827,29.5638805970149,"A",1,"day1"
"120",57,0.393799830193773,-0.70562504594764,29.5003823529412,"A",0,"day1"
"121",59,0.474733721617796,-0.553848438284007,29.6081940298507,"A",2,"day1"
"122",69,0.450027771534622,-0.597786508331072,29.3903582089552,"A",1,"day1"
"123",85,0.498405350977212,-0.513486910220787,29.5622835820896,"A",1,"day1"
"124",87,0.488451538485159,-0.530260703191395,29.5961323529412,"A",2,"day1"
"125",9,0.409825807000266,-0.673686166508365,29.5434264705882,"A",2,"day1"
"126",90,0.532770582223909,-0.457647351877465,29.5374264705882,"A",0,"day1"
"127",18,0.464279922711149,-0.572204833744816,30.7258965517241,"H",0,"day1"
"128",23,0.405819704555248,-0.68157498829819,30.4806666666667,"H",1,"day1"
"129",24,0.352971030981553,-0.791927104812039,30.786724137931,"H",2,"day1"
"130",3,0.515466453642141,-0.485374837455231,30.7377068965517,"H",1,"day1"
"131",32,0.275340489019655,-0.979921694248716,30.5233015873016,"H",0,"day1"
"132",43,0.430904002237723,-0.633174060830376,30.6848965517241,"H",2,"day1"
"133",46,0.463505568774531,-0.573578063076371,30.6058793103448,"H",1,"day1"
"134",51,0.527903214426048,-0.465369241547182,30.4924603174603,"H",0,"day1"
