"","coral_num","temp","wound","genotype","timepoint","umol.sec.corr","drymass","SA"
"82","31","H","2",70,"day0",0.00066364711944188,10.8684414194646,12.000295
"83","34","A","0",70,"day0",0.000762310773527976,8.31920568994503,10.827819
"84","36","H","0",70,"day0",0.00068446645577085,9.33644140600406,15.157251
"85","39","H","2",69,"day0",0.00119388167997081,8.18552063360494,13.605149
"86","44","A","2",69,"day0",0.00103636708803956,9.1259258575145,18.972979
"87","46","H","1",69,"day0",0.00122904164005799,8.41908532973934,10.527164
"88","49","A","2",69,"day0",0.000791191587062654,8.94306928619876,14.4341875
"89","50","H","1",69,"day0",0.00183217949333063,10.0463551534652,18.6742865
"90","54","A","1",69,"day0",0.000711375998203425,7.22513948173652,9.472281
"91","57","A","0",65,"day0",0.000576339979863437,8.01956677056208,15.113762
"92","61","H","0",65,"day0",0.000304958689414298,6.70576535480608,10.0055315
"93","63","H","2",65,"day0",0.00084091578874638,7.37880046603547,10.9789315
"94","67","A","1",65,"day0",0.000189626287193711,9.43017460642642,11.0615135
"95","68","A","0",65,"day0",0.000701831972414963,6.96084258874233,8.8153145
"96","70","H","1",65,"day0",0.00088365280455498,7.84439324846128,11.800905
"97","73","H","2",67,"day0",0.00114044141225947,9.26268413354057,13.0631065
"98","78","A","2",67,"day0",0.00126227563273208,9.01528994881926,10.711639
"99","8","H","0",68,"day0",0.000307789909476935,6.71344840402102,9.450772
"100","80","H","1",67,"day0",0.00118482379909948,10.0955266684409,10.8349625
"101","84","H","1",67,"day0",0.000368772314492152,9.36563699302086,12.9155265
"102","86","H","0",67,"day0",0.00145869927560788,9.32414852726014,12.334234
"103","9","A","2",68,"day0",0.000809794702536711,8.65418663571673,15.383017
"104","90","A","0",67,"day0",0.000951174278967633,8.26235112575442,8.590883
"105","92","H","1",66,"day0",0.000766840042653505,7.79983156301458,10.858434
"106","94","H","2",66,"day0",0.00109045019603554,10.9760041084738,13.2131985
"107","97","H","0",66,"day0",0.00121808673274404,10.8392458324478,22.4110435
"108","99","H","0",66,"day0",0.00143926937738719,8.72794390818023,16.5598105
"109","103","A","0",66,"day1",0.000865871961161738,9.25921855436694,13.2066045
"111","106","A","1",66,"day1",0.000709252573936513,10.0250532728646,18.5364405
"112","15","A","0",68,"day1",0.000649066640320231,8.17659276757499,10.8588265
"113","19","A","0",70,"day1",0.00051363706603011,7.72601129665163,9.6147585
"114","25","A","2",70,"day1",0.000638096238996303,9.44375704075193,11.8925191983208
"115","26","A","1",70,"day1",0.000177400862807966,7.78598630472676,7.2334924
"116","41","A","0",69,"day1",0.00188149218904869,10.0665744323013,19.7038925
"117","49","A","2",69,"day1",0.000957400875901683,9.14695764181607,14.0411426983208
"119","52","A","1",69,"day1",0.00033558475247921,6.55572972882681,6.279843
"120","57","A","0",65,"day1",0.000354249207733696,8.23810559636999,15.113762
"121","59","A","2",65,"day1",0.000570866461074016,7.99051646047012,15.8629706983208
"122","69","A","1",65,"day1",0.00050624246760107,7.24159776989103,7.841208
"123","85","A","1",67,"day1",0.000913901342909795,9.85435517295853,10.184747
"124","87","A","2",67,"day1",0.000576456672190536,7.08474005646379,7.74866119832077
"125","9","A","2",68,"day1",0.00117083628493478,8.8747633743982,14.9899721983208
"126","90","A","0",67,"day1",0.00078464520816342,8.42264408275498,8.590883
"127","18","H","0",68,"day1",0.000483883211044485,9.19616790485206,14.7492865
"128","23","H","1",70,"day1",0.000766485896914864,7.53378370666727,8.8449561
"129","24","H","2",70,"day1",0.00049280020406425,7.83365874704288,9.39629769832077
"130","3","H","1",68,"day1",0.00064890414533474,9.95277569903053,17.493568
"131","32","H","0",70,"day1",0.000983037467927185,11.0507796930212,17.049415
"132","43","H","2",69,"day1",0.00264016614544943,11.0154098164641,21.3323796983208
"133","46","H","1",69,"day1",0.000794421076331138,8.43802228995373,9.00552
"134","51","H","0",69,"day1",0.000693247898446393,7.66911193001626,8.4441665
"135","56","H","1",65,"day1",0.000947228374184862,8.53029153314622,13.8080715
"136","58","H","0",65,"day1",0.000807110949424967,6.70182269721493,9.7158665
"137","63","H","2",65,"day1",0.000126834327675692,7.53070806522752,10.5858866983208
"138","7","H","2",68,"day1",0.00100131493885053,12.4594234724267,24.3083931983208
"139","74","H","1",67,"day1",0.00061617037882217,8.32729919812273,11.8347385
"140","76","H","2",67,"day1",0.00057434174825629,9.73286733608841,13.5619001983208
"141","81","H","0",67,"day1",0.00114039546179045,9.57754744338104,10.2396185
"142","92","H","1",66,"day1",0.000212920430337059,7.807515794805,9.7731715
"143","97","H","0",66,"day1",0.000761758345349126,11.1568893226926,22.4110435
"144","98","H","2",66,"day1",0.0014916882866104,11.4552265423483,20.2067681983208
"145","108","A","0",66,"day1",0.000743885001254951,8.23741729978579,14.707603
"146","12","A","1",68,"day1",0.0011062934282156,10.6190619210632,26.256994
"147","16","A","2",68,"day1",0.0021289173896838,11.2859224150208,24.9628476983208
"148","20","A","1",70,"day1",0.000649066347509323,7.74418638144383,8.018932
"149","34","A","0",70,"day1",0.000749143015071171,8.49248375600001,10.827819
"151","42","A","2",69,"day1",0.00143423241934196,9.6833060666387,14.1449981983208
"152","54","A","1",69,"day1",0.000973213490784288,7.24173619360016,8.6715025
"153","75","A","1",67,"day1",0.00104945734048358,10.0044439542819,18.960105
"154","101","A","2",66,"day1",0.000340230073418563,7.51216809898391,10.0352876983208
"156","29","A","2",70,"day1",0.000636907612424494,8.99954357859455,11.8611976983208
"157","62","A","2",65,"day1",0.000790533027088935,7.34775779286992,8.04806019832077
"158","67","A","1",65,"day1",0.000275270264376895,9.24846385514096,9.7483655
"159","68","A","0",65,"day1",0.000558783465591278,7.15876276808469,8.8153145
"160","77","A","0",67,"day1",0.00109109257430405,7.46607175147531,10.508481
"161","78","A","2",67,"day1",0.00110462448120797,9.18853860337979,10.3185941983208
"162","91","A","1",66,"day1",0.00117847945167725,9.89688581009518,13.2105295
"163","14","H","2",68,"day1",0.000995006281567589,9.88305690584261,11.7176211983208
"165","2","H","1",68,"day1",0.000339725009841043,12.6964706487838,27.4640885
"166","28","H","0",70,"day1",0.000420975607090035,8.74294057746338,11.339482
"167","33","H","2",70,"day1",0.000322402594005014,7.81333090270672,9.64938169832077
"168","35","H","1",70,"day1",0.000406777228467743,7.18181094183898,7.299244
"169","45","H","2",69,"day1",0.00133397666900757,10.7051084364125,16.5944336983208
"170","47","H","0",69,"day1",0.00144323719691536,8.30502527613173,13.235728
"171","50","H","1",69,"day1",0.00149945623010179,10.1796100748146,17.7701235
"172","55","H","2",65,"day1",0.000411623988261882,8.74601366729728,13.9037676983208
"173","60","H","0",65,"day1",0.00168237064568475,8.75830602663291,18.8185695
"174","70","H","1",65,"day1",0.00101335375998372,7.98388738848852,10.904435
