"","coral_num","umol.cm2.hr","Rate.ln","Temp.C","temp","wound","timepoint"
"66",82,0.285202775997528,-0.953985392444653,28.2419833333333,"A",2,"day0"
"67",85,0.172598596095687,-1.29975490978547,28.4082666666667,"A",1,"day0"
"68",87,0.147613082079493,-1.3958879040283,28.2711,"A",2,"day0"
"69",88,0.0814409711925688,-1.70682490576435,29.87305,"A",1,"day0"
"70",89,0.472925465413528,-0.556999648540592,29.5293166666667,"H",0,"day0"
"71",95,0.282667668946345,-0.9605883715764,28.2882166666667,"H",0,"day0"
"72",98,0.259180442766015,-1.02393039067886,29.6824666666667,"H",2,"day0"
"73",101,0.169154670283309,-1.31246908215354,28.80025,"A",2,"day0"
"74",106,0.264610503548103,-1.00892560873755,28.5371333333333,"A",1,"day0"
"75",107,0.319973806452464,-0.867562935238909,28.4964833333333,"A",0,"day0"
"76",108,0.331958513046596,-0.839425729964006,28.2790166666667,"A",0,"day0"
"77",12,0.171360378857722,-1.30430753023526,28.48845,"A",1,"day0"
"78",15,0.137212872541736,-1.43879734460536,28.7075166666667,"A",0,"day0"
"79",20,0.239962573082093,-1.0789197466014,28.2139,"A",1,"day0"
"80",24,0.118923048705179,-1.51903498668801,28.2814833333333,"H",2,"day0"
"81",29,0.200346052101345,-1.20281996209949,28.7732166666667,"A",2,"day0"
"82",31,0.199089241555376,-1.2070132833834,28.4701166666667,"H",2,"day0"
"83",34,0.253450744300465,-1.04001114055196,28.3736,"A",0,"day0"
"84",36,0.162567687292047,-1.33724637383904,28.2571166666667,"H",0,"day0"
"85",39,0.315907899861656,-0.877291437795594,28.31095,"H",2,"day0"
"86",44,0.19664394911007,-1.21522268388963,28.3026666666667,"A",2,"day0"
"87",46,0.420298373256915,-0.653352837239076,28.7878166666667,"H",1,"day0"
"88",49,0.197329410708123,-1.21291462784295,28.3792166666667,"A",2,"day0"
"89",50,0.353204722225412,-0.791411330144238,28.2270666666667,"H",1,"day0"
"90",54,0.270362924572479,-0.99327187686667,28.1696666666667,"A",1,"day0"
"91",57,0.137280441991105,-1.43851253785358,28.2910166666667,"A",0,"day0"
"92",61,0.109724434118415,-1.561960828461,28.43415,"H",0,"day0"
"93",63,0.275736927540441,-0.978866041265783,28.8002333333333,"H",2,"day0"
"94",67,0.0617143968497042,-1.82192348204141,28.3357333333333,"A",1,"day0"
"95",68,0.286614289336344,-0.950327751338087,28.16915,"A",0,"day0"
"96",70,0.269568316700959,-0.995419666100744,28.2807666666667,"H",1,"day0"
"97",73,0.314288877927626,-0.881191775715013,28.4373,"H",2,"day0"
"98",78,0.424229408574682,-0.645825887845263,28.5888833333333,"A",2,"day0"
"99",8,0.117243720842802,-1.52673541816434,28.3015166666667,"H",0,"day0"
"100",80,0.393666861030495,-0.705894359667817,28.4339833333333,"H",1,"day0"
"101",84,0.102789486140712,-1.59558685209664,28.2201,"H",1,"day0"
"102",86,0.425751399899529,-0.642926801731397,28.3360833333333,"H",0,"day0"
"103",9,0.189511649706436,-1.23955974199656,28.7954333333333,"A",2,"day0"
"104",90,0.398588527428842,-0.695974117726512,28.7398666666667,"A",0,"day0"
"105",92,0.254237779918598,-1.03778689664897,28.3453833333333,"H",1,"day0"
"106",94,0.297098443327551,-0.923571060954476,28.3125333333333,"H",2,"day0"
"107",97,0.195667472506514,-1.21851985984321,28.7786,"H",0,"day0"
"108",99,0.31288822771214,-0.88457835772895,28.2793833333333,"H",0,"day0"
"109",103,0.236028803632475,-1.09055839759647,29.87665,"A",0,"day1"
"111",106,0.137745392173403,-1.43655495871857,29.9011,"A",1,"day1"
"112",15,0.215183464359876,-1.15460038316172,29.76445,"A",0,"day1"
"113",19,0.192318240516223,-1.22991220540373,29.85555,"A",0,"day1"
"114",25,0.193158944886215,-1.22704034303652,29.7836166666667,"A",2,"day1"
"115",26,0.0882897320952016,-1.66977337430554,29.9225666666667,"A",1,"day1"
"116",41,0.34375806103161,-0.812475772652469,29.7019333333333,"A",0,"day1"
"117",49,0.24546742578567,-1.06285692159206,29.77555,"A",2,"day1"
"119",52,0.192378234443943,-1.22970699148334,29.8654166666667,"A",1,"day1"
"120",57,0.0843798617340478,-1.69075718350866,29.7728666666667,"A",0,"day1"
"121",59,0.129554501420343,-1.47161479871946,29.8592666666667,"A",2,"day1"
"122",69,0.232422463906563,-1.10134863733799,29.65155,"A",1,"day1"
"123",85,0.323036481365248,-0.860296859292403,29.8444833333333,"A",1,"day1"
"124",87,0.267819687397826,-1.0001624407898,29.8953,"A",2,"day1"
"125",9,0.28118868867798,-0.964460780575237,29.8189333333333,"A",2,"day1"
"126",90,0.328804704870071,-0.846753697107401,29.8511333333333,"A",0,"day1"
"127",18,0.118106022264883,-1.52277399375374,30.9556833333333,"H",0,"day1"
"128",23,0.311968674315242,-0.886807965738715,30.5712,"H",1,"day1"
"129",24,0.188806356672623,-1.24199886156642,31.0150666666667,"H",2,"day1"
"130",3,0.133537933668252,-1.45441075824451,30.9522666666667,"H",1,"day1"
"131",32,0.207569285194704,-1.17905489940943,30.5708166666667,"H",0,"day1"
"132",43,0.445547953769365,-0.60596456965451,30.9018833333333,"H",2,"day1"
"133",46,0.317573652025879,-0.873294338211966,30.8156833333333,"H",1,"day1"
"134",51,0.295552253074003,-0.927472381477351,30.5844666666667,"H",0,"day1"
"135",56,0.246958610191546,-1.05854978513648,30.6198666666667,"H",1,"day1"
"136",58,0.299057157478428,-0.918650620526203,30.86995,"H",0,"day1"
"137",63,0.0431332388721788,-1.94397934215796,30.4681,"H",2,"day1"
"138",7,0.148291734071133,-1.39315087711021,30.5731,"H",2,"day1"
"139",74,0.187432393521818,-1.24676759936512,30.3243833333333,"H",1,"day1"
"140",76,0.152458745713131,-1.37650742692956,31.0828333333333,"H",2,"day1"
"141",81,0.400935216721759,-0.691278494198865,30.5271833333333,"H",0,"day1"
"142",92,0.078430379453938,-1.72355678491472,30.9738,"H",1,"day1"
"143",97,0.122365120716349,-1.50343456021641,30.6853,"H",0,"day1"
"144",98,0.265756393060604,-1.00578775991654,31.0040833333333,"H",2,"day1"
"145",108,0.182081744014835,-1.26555837765588,28.7482,"A",0,"day1"
"146",12,0.151679828299316,-1.37959752189063,28.7666333333333,"A",1,"day1"
"147",16,0.307020364642822,-0.89889205881385,28.7253666666667,"A",2,"day1"
"148",20,0.29139028127855,-0.938050054991324,28.6462,"A",1,"day1"
"149",34,0.249072768417741,-1.052474873019,28.7764166666667,"A",0,"day1"
"151",42,0.365022083229676,-0.765670383705927,28.5741,"A",2,"day1"
"152",54,0.404032469208587,-0.685114589952932,28.7590166666667,"A",1,"day1"
"153",75,0.199262948477389,-1.20643266571445,28.7101833333333,"A",1,"day1"
"154",101,0.122052132547409,-1.50484309338378,29.1871333333333,"A",2,"day1"
"156",29,0.193308252930713,-1.22653116520602,29.1613833333333,"A",2,"day1"
"157",62,0.353615508257998,-0.790505337871734,29.1077333333333,"A",2,"day1"
"158",67,0.101655293059828,-1.60119550926027,29.2169666666667,"A",1,"day1"
"159",68,0.228196109864101,-1.11414395333941,29.3028833333333,"A",0,"day1"
"160",77,0.373786969543417,-0.746997489654599,29.14635,"A",0,"day1"
"161",78,0.385386619138086,-0.722809552740214,29.1467333333333,"A",2,"day1"
"162",91,0.321147311017176,-0.864772599098856,28.9904166666667,"A",1,"day1"
"163",14,0.305695375624248,-0.902152707345302,31.0236166666667,"H",2,"day1"
"165",2,0.0445312443348613,-1.93425957103197,30.9087666666667,"H",1,"day1"
"166",28,0.133649154831246,-1.45393462708493,31.1655666666667,"H",0,"day1"
"167",33,0.120282249651295,-1.51284560195027,30.96725,"H",2,"day1"
"168",35,0.200623245706524,-1.20189747362679,31.1426166666667,"H",1,"day1"
"169",45,0.289393184228589,-0.943165689462272,30.93645,"H",2,"day1"
"170",47,0.392547648976715,-0.708164073858594,30.8789166666667,"H",0,"day1"
"171",50,0.303770676009451,-0.906908195825926,30.9587333333333,"H",1,"day1"
"172",55,0.106578762670333,-1.57707352201238,30.81105,"H",2,"day1"
"173",60,0.321838188841351,-0.863133477242136,31.0413166666667,"H",0,"day1"
"174",70,0.33454952374345,-0.833445362075681,30.9502,"H",1,"day1"
"175",73,0.307449107983088,-0.897839242485483,31.0075333333333,"H",2,"day1"
